id_stop_departure,id_stop_arrival,price,departure_datetime,arrival_datetime
10,29,540,21:05:00,10:05:00
10,922,563.25,21:05:00,8:25:00
10,1185,530.25,21:05:00,7:35:00
10,556,875,12:30:00,22:30:00
10,226,466,12:30:00,18:10:00
10,545,731,18:30:00,3:10:00
10,626,700,12:30:00,20:35:00
10,556,875,12:30:00,23:00:00
10,226,466,12:30:00,18:15:00
10,545,731,13:00:00,21:20:00
10,545,731,16:00:00,0:45:00
10,562,1905,16:00:00,14:05:00
10,521,1414,12:30:00,6:40:00
10,563,1960,16:00:00,15:50:00
10,521,1414,16:00:00,8:40:00
10,521,1588,16:00:00,8:40:00
10,226,515,12:30:00,18:10:00
10,545,843,16:00:00,0:45:00
10,547,1365,16:00:00,7:20:00
10,226,535,12:30:00,18:10:00
10,564,2153,16:00:00,18:05:00
10,626,804,12:30:00,20:35:00
10,562,1905,12:30:00,12:25:00
10,556,1005,12:30:00,22:30:00
10,933,685,21:30:00,5:40:00
10,556,788,21:30:00,7:35:00
10,932,673,21:30:00,4:50:00
10,141,348,21:30:00,2:05:00
10,2762,743,21:30:00,6:45:00
10,167,476,21:30:00,3:00:00
10,141,400,21:30:00,2:05:00
10,933,822,21:30:00,5:40:00
10,932,796,21:30:00,4:50:00
10,556,1005,21:30:00,7:35:00
10,4165,636,21:30:00,4:05:00
10,167,550,21:30:00,3:00:00
10,9,524,20:45:00,2:00:00
10,9,524,18:30:00,23:45:00
10,9,524,2:00:00,7:45:00
10,9,524,6:30:00,11:45:00
10,9,524,15:30:00,20:45:00
10,9,524,19:30:00,0:45:00
10,9,524,14:00:00,19:15:00
10,9,524,16:45:00,22:00:00
10,9,524,23:00:00,4:15:00
10,725,585,15:30:00,21:45:00
10,725,585,7:31:00,13:46:00
10,9,524,19:00:00,0:15:00
10,724,547,0:30:00,6:30:00
10,9,524,0:30:00,5:45:00
10,9,524,22:00:00,3:15:00
10,9,524,10:00:00,15:45:00
10,9,524,7:30:00,12:45:00
10,9,524,14:45:00,20:00:00
10,9,524,8:00:00,13:15:00
10,9,524,18:00:00,23:15:00
10,712,524,10:00:00,14:40:00
10,1350,547,14:00:00,19:45:00
10,1350,547,15:30:00,21:15:00
10,725,585,7:30:00,13:45:00
10,9,524,20:00:00,1:15:00
10,724,547,23:00:00,5:00:00
10,725,585,0:30:00,6:45:00
10,725,585,23:00:00,5:15:00
10,9,524,17:00:00,22:45:00
10,9,524,23:30:00,4:45:00
10,724,547,7:30:00,13:30:00
10,9,524,16:00:00,21:15:00
10,9,524,20:30:00,1:45:00
10,712,524,2:00:00,6:40:00
10,9,524,9:00:00,14:15:00
10,9,524,11:30:00,16:45:00
10,9,524,15:31:00,20:46:00
10,9,524,2:01:00,7:46:00
10,9,524,13:30:00,18:45:00
10,9,524,0:35:00,5:50:00
10,9,524,14:00:00,19:45:00
10,9,524,23:55:00,5:10:00
10,9,524,7:31:00,12:46:00
10,9,524,18:20:00,23:35:00
10,9,524,17:01:00,22:46:00
10,9,524,6:35:00,11:45:00
10,9,524,13:00:00,18:15:00
10,9,602,1:00:00,6:15:00
10,9,602,10:00:00,15:45:00
10,9,602,15:30:00,20:45:00
10,725,672,7:30:00,13:45:00
10,9,602,9:00:00,14:15:00
10,712,602,14:00:00,18:40:00
10,9,602,8:00:00,13:15:00
10,9,602,19:00:00,0:15:00
10,9,602,6:30:00,11:45:00
10,9,602,2:00:00,7:45:00
10,9,602,0:30:00,5:45:00
10,9,602,2:45:00,8:00:00
10,9,602,18:30:00,23:45:00
10,9,602,7:30:00,12:45:00
10,724,628,7:30:00,13:30:00
10,9,602,18:00:00,23:15:00
10,9,602,23:00:00,4:15:00
10,9,602,16:00:00,21:15:00
10,712,602,17:00:00,21:40:00
10,9,602,1:45:00,7:00:00
10,725,672,14:00:00,20:45:00
10,9,602,14:00:00,19:45:00
10,9,602,8:45:00,14:00:00
10,1350,628,7:30:00,13:15:00
10,1350,628,15:30:00,21:15:00
10,9,602,7:00:00,12:15:00
10,9,602,15:31:00,20:45:00
10,9,602,8:30:00,13:45:00
10,9,602,23:50:00,5:05:00
10,724,628,15:30:00,21:30:00
10,724,628,23:00:00,5:00:00
10,1337,756,22:30:00,6:30:00
10,1337,756,23:00:00,7:10:00
10,1337,756,22:55:00,6:55:00
10,1337,720,22:30:00,6:30:00
