id,name,city,province,latitud,longitud
2085,La Porteña,Trenque Lauquen,Buenos Aires,,
1703,Mar Azul,Villa Gesell ,Buenos Aires,,
8750,Las Heras 699,Mendoza,Mendoza,,
1534,Frias,Frias,Santiago del Estero,"-28.625.199,00","-651.280.367,00"
1521,Herrera Acceso,Herrera,Santiago del Estero,,
2481,Firmat,Firmat,Santa Fe,"-33.455.179,00","-61.485.278,00"
2143,Galvez,Santa Fe,Santa Fe,,
2146,Logroño,Santa Fe,Santa Fe,,
4723,Corral de Bustos,Corral de Bustos,Córdoba,,
303,Marcos Juarez,Marcos Juarez,Córdoba,"-326.867.879,00","-621.054.891,00"
4712,Villa Nueva,Villa Maria,Córdoba,,
1836,La Paz Acceso,La Paz,Entre Rios,,
3017,Villa Elisa Acceso,Villa Elisa,Entre Rios,,
4679,Riachuelo,Corrientes,Corrientes,,
659,Chavarria,Chavarria,Corrientes,,
367,Empedrado,Empedrado,Corrientes,"-281.357.575,00","-587.665.118,00"
1250,Itati,Itati,Corrientes,"-274.424.185,00","-573.399.317,00"
3027,La Cruz,La Cruz,Corrientes,"-291.699.298,00","-566.524.053,00"
3086,Loreto,Loreto,Corrientes,"-268.228.455,00","-652.028.385,00"
1589,Felipe Yofre Acceso,Mercedes,Corrientes,,
3087,Mocoreta,Mocoreta,Corrientes,"-306.166.337,00","-579.801.478,00"
8936,San Lorenzo Acceso,San Lorenzo ,Corrientes,,
363,San Roque,San Roque,Corrientes,"-285.744.029,00","-587.220.526,00"
1394,Solari Acceso,Solari,Corrientes,,
4563,Solari,Solari,Corrientes,"-293.776.262,00","-581.947.865,00"
2945,Campo Viera,Campo Viera,Misiones,"-273.290.037,00","-550.525.868,00"
4558,San Expedito,San Juan,San Juan,,
80,Villa Larca,Villa Larca,San Luis,"-32.617.892,00","-64.982.711,00"
2045,Santa Rosa del Conlara,Santa Rosa del Conlara,San Luis,"-323.419.724,00","-652.070.694,00"
1623,Malbran Acceso,Malbran,Santiago del Estero,,
487,Canals,Canals,Córdoba,,
1021,Ledesma Alejo,Ledesma Alejo,Córdoba,"-33.607.375,00","-62.625.771,00"
2551,Valentin Alsina,Valentín Alsina,Buenos Aires,"-346.770.449,00","-584.013.858,00"
2391,Banderalo Acceso,Banderalo ,Buenos Aires,"-3.503.759,00","-6.298.973,00"
783,Carmen de Areco,Carmen de Areco,Buenos Aires,"-34.402.947,00","-59.828.211,00"
1542,Piedritas,General Villegas,Buenos Aires,,
1546,Henderson,Henderson,Buenos Aires,"-345.250.435,00","-584.936.766,00"
3874,Rotonda Laprida,Laprida,Buenos Aires,,
805,Paso del Rey,Paso del Rey,Buenos Aires,"-346.466.623,00","-587.984.202,00"
3217,Villalonga,Patagones,Buenos Aires,,
2035,Bordenave,Puan,Buenos Aires,,
245,Terminal de San Andres de Giles,San Andres de Giles,Buenos Aires,"-344.503.152,00","-594.497.264,00"
566,San Antonio de Areco,San Antonio de Areco,Buenos Aires,"-342.433.271,00","-594.657.861,00"
2103,Etruria,Etruria ,Córdoba,"-329.395.398,00","-632.475.329,00"
3047,La Laguna,La Laguna,Córdoba,,
304,Leones,Leones,Córdoba,"-326.535.621,00","-622.931.785,00"
3046,MANFREDI,Manfredi,Córdoba,,
